CREATED_AT,LAT,LNG,TOTAL_VALUE,PAYMENT_METHOD,OS
2021-11-07 12:14:37.000 +0000,4.643180200000,-74.054895500000,89850,cc,IOS
2021-11-07 13:48:51.000 +0000,4.639641600000,-74.062163800000,48000,cc,IOS
2021-11-07 10:57:29.000 +0000,4.650208714260,-74.059954360127,63954,cc,ANDROID
2021-11-07 10:46:25.000 +0000,4.631389182507,-74.066109828992,56800,cc,IOS
2021-11-07 13:08:50.000 +0000,4.650213500000,-74.061135400000,35900,cc,ANDROID
2021-11-07 14:07:50.000 +0000,4.650013891683,-74.060832783580,14950,pse_avanza,ANDROID
2021-11-07 13:01:22.000 +0000,4.645193100000,-74.057279900000,62500,rappi_pay,IOS
2021-11-07 14:30:47.000 +0000,4.642598000000,-74.061548500000,66900,cc,IOS
2021-11-07 11:27:13.000 +0000,4.635546000000,-74.062368000000,119400,cc,IOS
2021-11-07 10:29:06.000 +0000,4.648480000000,-74.055217000000,18600,cc,IOS
2021-11-07 12:13:13.000 +0000,4.631763282593,-74.063328865030,44640,cc,IOS
2021-11-07 12:38:31.000 +0000,4.643286900000,-74.054682900000,85015,cc,IOS
2021-11-07 11:24:50.000 +0000,4.631125800000,-74.064738700000,31900,cc,ANDROID
2021-11-07 10:57:25.000 +0000,4.639936500000,-74.061878200000,30900,cc,ANDROID
2021-11-07 10:55:45.000 +0000,4.639936500000,-74.061878200000,30900,cc,ANDROID
2021-11-07 10:57:42.000 +0000,4.639936500000,-74.061878200000,30900,cc,ANDROID
2021-11-07 10:54:00.000 +0000,4.639936500000,-74.061878200000,30900,cc,ANDROID
2021-11-07 10:53:13.000 +0000,4.639936500000,-74.061878200000,30900,cc,ANDROID
2021-11-07 12:08:44.000 +0000,4.641812900000,-74.056960600000,74000,cc,IOS
2021-11-07 13:10:07.000 +0000,4.648790000000,-74.059229000000,27700,cc,ANDROID
2021-11-07 12:21:45.000 +0000,4.645115000000,-74.061935500000,34900,cc,IOS
2021-11-07 12:54:40.000 +0000,4.648453000000,-74.055214000000,74700,cc,IOS
2021-11-07 14:17:55.000 +0000,4.645067500000,-74.054520900000,41900,cc,IOS
2021-11-07 11:11:16.000 +0000,4.636592391300,-74.062068946660,13650,rappi_pay,ANDROID
2021-11-07 13:45:53.000 +0000,4.639336200000,-74.064119200000,7500,cc,IOS
2021-11-07 14:10:45.000 +0000,4.636741926509,-74.062345210398,39023,nequi,IOS
2021-11-07 11:40:58.000 +0000,4.643479745000,-74.061964069000,40000,cc,ANDROID
2021-11-07 13:10:55.000 +0000,4.648643000000,-74.059335000000,82700,rappi_pay_gateway,IOS
2021-11-07 12:28:17.000 +0000,4.638211000000,-74.060243000000,50900,cash,IOS
2021-11-07 08:32:03.000 +0000,4.640080208085,-74.060671851039,31800,cc,ANDROID
2021-11-07 12:41:27.000 +0000,4.640080208085,-74.060671851039,1800,cc,ANDROID
2021-11-07 13:05:03.000 +0000,4.640080208085,-74.060671851039,80955,rappi_pay,ANDROID
2021-11-07 14:14:57.000 +0000,4.645370548622,-74.060634970665,49852,cc,IOS
2021-11-07 07:19:10.000 +0000,4.645224000000,-74.058627000000,20055,rappi_pay,IOS
2021-11-07 12:05:52.000 +0000,4.645824300000,-74.064977600000,50550,cc,ANDROID
2021-11-07 12:39:30.000 +0000,4.641248000000,-74.060008000000,27900,cc,IOS
2021-11-07 11:35:02.000 +0000,4.645074000000,-74.054504700000,29300,cc,IOS
2021-11-07 12:35:24.000 +0000,4.633476800000,-74.063366200000,19845,cc,ANDROID
2021-11-07 10:55:13.000 +0000,4.645549000000,-74.055855000000,46725,cc,IOS
2021-11-07 13:27:19.000 +0000,4.644253000000,-74.061458600000,29900,cc,ANDROID
2021-11-07 13:14:52.000 +0000,4.643131400000,-74.058402800000,106050,cc,ANDROID
2021-11-07 14:27:21.000 +0000,4.638423761786,-74.063192695295,17000,rappi_pay,IOS
2021-11-07 14:28:33.000 +0000,4.638423761786,-74.063192695295,24900,nequi,IOS
2021-11-07 13:29:14.000 +0000,4.645296500000,-74.058001400000,59000,cc,ANDROID
2021-11-07 13:31:22.000 +0000,4.645074000000,-74.054504700000,41300,cc,ANDROID
2021-11-07 12:00:00.000 +0000,4.646213336874,-74.059807173908,35715,cc,IOS
2021-11-07 13:46:01.000 +0000,4.643722300000,-74.060052700000,34560,cc,IOS
2021-11-07 12:55:45.000 +0000,4.639881600000,-74.061204800000,38000,pse_avanza,IOS
2021-11-07 08:44:29.000 +0000,4.641984000000,-74.056951000000,43400,cc,IOS
2021-11-07 12:42:35.000 +0000,4.644324915008,-74.058710150421,97660,cash,ANDROID
2021-11-07 14:18:40.000 +0000,4.632996400000,-74.062003200000,35340,cash,IOS
2021-11-07 12:16:32.000 +0000,4.636084000000,-74.061662000000,36900,cc,IOS
2021-11-07 11:27:45.000 +0000,4.650355600000,-74.052641900000,22410,cc,IOS
2021-11-07 11:35:41.000 +0000,4.650355600000,-74.052641900000,101790,cc,IOS
2021-11-07 14:15:33.000 +0000,4.640732521815,-74.057667776942,46940,cash,ANDROID
2021-11-07 12:09:10.000 +0000,4.646006000000,-74.058757000000,30770,cc,IOS
2021-11-07 13:54:28.000 +0000,4.638856000000,-74.057956000000,25700,cc,IOS
2021-11-07 13:51:17.000 +0000,4.638856000000,-74.057956000000,7300,cc,IOS
2021-11-07 09:36:02.000 +0000,4.642909347186,-74.059193953872,36440,cc,IOS
2021-11-07 07:42:10.000 +0000,4.645095500000,-74.061977100000,46520,cc,ANDROID
2021-11-07 11:23:42.000 +0000,4.639142500000,-74.057678500000,40740,cc,ANDROID
2021-11-07 11:21:28.000 +0000,4.650657600000,-74.059735600000,15640,cc,IOS
2021-11-07 09:48:42.000 +0000,4.639012600000,-74.060142400000,28000,cc,IOS
2021-11-07 10:24:49.000 +0000,4.645104211284,-74.056073538959,49252.5,cc,IOS
2021-11-07 13:49:09.000 +0000,4.639383000000,-74.060513000000,7928.73,cash,IOS
2021-11-07 08:46:18.000 +0000,4.635208889213,-74.064906388521,31940,cash,ANDROID
2021-11-07 14:26:49.000 +0000,4.635208889213,-74.064906388521,34150,cash,ANDROID
2021-11-07 13:00:54.000 +0000,4.646515300000,-74.062212100000,27825,cc,IOS
2021-11-07 13:38:30.000 +0000,4.643482792850,-74.062864221633,27800,cc,ANDROID
2021-11-07 11:15:35.000 +0000,4.642666000000,-74.057345000000,34900,cc,IOS
2021-11-07 13:34:15.000 +0000,4.645442000000,-74.058807000000,38220,rappi_pay,ANDROID
2021-11-07 13:04:54.000 +0000,4.646478800000,-74.058790600000,30495,cc,ANDROID
2021-11-07 08:51:45.000 +0000,4.644970330305,-74.054430701585,30450,cash,IOS
2021-11-07 12:58:48.000 +0000,4.648496800000,-74.054224000000,22995,cc,IOS
2021-11-07 13:02:09.000 +0000,4.648496800000,-74.054224000000,22995,cc,IOS
2021-11-07 13:24:16.000 +0000,4.639019900000,-74.061427500000,29000,cc,IOS
2021-11-07 13:34:12.000 +0000,4.637019806010,-74.061993509531,68040,cash,ANDROID
2021-11-07 12:52:10.000 +0000,4.648480000000,-74.054631000000,29700,cc,IOS
2021-11-07 13:48:49.000 +0000,4.634263793000,-74.064586237000,22900,cc,ANDROID
2021-11-07 12:27:00.000 +0000,4.648707000000,-74.059922000000,17900,rappi_pay,IOS
2021-11-07 14:27:37.000 +0000,4.630330489021,-74.062306741322,15900,cc,ANDROID
2021-11-07 12:24:59.000 +0000,4.636051100000,-74.063082200000,20900,rappi_pay_gateway,ANDROID
2021-11-07 12:25:22.000 +0000,4.636051100000,-74.063082200000,20900,rappi_pay_gateway,ANDROID
2021-11-07 08:29:57.000 +0000,4.632387285857,-74.064314242713,39737.5,rappi_pay_gateway,IOS
2021-11-07 13:29:35.000 +0000,4.645514000000,-74.054747000000,21800,cc,IOS
2021-11-07 12:26:44.000 +0000,4.646266800000,-74.054472200000,85800,rappi_pay,ANDROID
2021-11-07 12:24:41.000 +0000,4.643306000000,-74.054532000000,25900,rappi_pay_gateway,IOS
2021-11-07 14:36:54.000 +0000,4.643306000000,-74.054532000000,66800,rappi_pay_gateway,
2021-11-07 09:40:58.000 +0000,4.648352717914,-74.054351896048,0,rappi_credits,IOS
2021-11-07 12:54:01.000 +0000,4.641043000000,-74.059707000000,93700,cc,IOS
2021-11-07 12:02:19.000 +0000,4.636763200000,-74.065057500000,23500,cc,ANDROID
2021-11-07 09:17:30.000 +0000,4.645302200000,-74.062308300000,23000,cc,IOS
2021-11-07 08:52:32.000 +0000,4.645302200000,-74.062308300000,28000,cc,IOS
2021-11-07 12:18:08.000 +0000,4.639924147282,-74.059017933905,55240,cash,ANDROID
2021-11-07 10:21:22.000 +0000,4.645472000000,-74.054543000000,47400,cc,IOS
2021-11-07 14:12:21.000 +0000,4.629253200000,-74.066064800000,116745,cc,IOS
2021-11-07 12:45:54.000 +0000,4.648727509197,-74.057782525266,32400,cc,IOS
2021-11-07 14:22:44.000 +0000,4.632125000000,-74.062011000000,25300,cc,IOS
2021-11-07 13:05:43.000 +0000,4.631248900000,-74.065166700000,33240,pse_avanza,ANDROID
2021-11-07 14:35:55.000 +0000,4.643745941525,-74.061194518433,132510,cc,IOS
2021-11-07 13:20:18.000 +0000,4.650678894769,-74.059776328504,48300,cc,ANDROID
2021-11-07 13:22:02.000 +0000,4.643690000000,-74.056675000000,23000,rappi_pay,IOS
2021-11-07 09:20:33.000 +0000,4.643290800000,-74.061334600000,28800,nequi,ANDROID
2021-11-07 13:47:39.000 +0000,4.643290800000,-74.061334600000,84500,nequi,ANDROID
2021-11-07 13:39:21.000 +0000,4.644974000000,-74.062942000000,37800,cc,IOS
2021-11-07 14:00:11.000 +0000,4.629366500000,-74.063564300000,56700,cc,IOS
2021-11-07 13:14:51.000 +0000,4.644658000000,-74.061996600000,32500,rappi_pay,IOS
2021-11-07 12:09:12.000 +0000,4.645833000000,-74.064981200000,46045,cash,IOS
2021-11-07 13:00:46.000 +0000,4.641091000000,-74.063905000000,152295,cc,IOS
2021-11-07 11:44:00.000 +0000,4.632139700000,-74.065814400000,23800,cc,IOS
2021-11-07 11:44:00.000 +0000,4.632139700000,-74.065814400000,17200,cc,IOS
2021-11-07 13:27:53.000 +0000,4.645009600000,-74.057907200000,47800,cc,ANDROID
2021-11-07 14:07:00.000 +0000,4.640982200000,-74.063998000000,50235,cc,IOS
2021-11-07 12:33:39.000 +0000,4.631801200000,-74.063335600000,34540,rappi_pay_gateway,IOS
2021-11-07 10:40:02.000 +0000,4.645880100000,-74.053788100000,19350,rappi_pay_gateway,IOS
2021-11-07 14:33:48.000 +0000,4.645880100000,-74.053788100000,21900,rappi_pay_gateway,IOS
2021-11-07 10:14:48.000 +0000,4.640956700000,-74.058044100000,123300,cc,IOS
2021-11-07 11:53:21.000 +0000,4.645193000000,-74.057281000000,29600,cc,IOS
2021-11-07 07:28:15.000 +0000,4.642542000000,-74.058598200000,60555,cc,ANDROID
2021-11-07 13:42:51.000 +0000,4.642542000000,-74.058598200000,80960,cc,ANDROID
2021-11-07 11:56:42.000 +0000,4.645841066533,-74.059006534517,17450,rappi_pay_gateway,IOS
2021-11-07 13:19:19.000 +0000,4.629326000000,-74.065994000000,30400,rappi_pay_gateway,IOS
2021-11-07 08:32:54.000 +0000,4.629326000000,-74.065994000000,31000,rappi_pay_gateway,IOS
2021-11-07 13:33:53.000 +0000,4.645473000000,-74.054626000000,200500,cc,IOS
